ID,ScheduledFor,LearnerID,AssessorID,EmployerID,Status,CreatedOn,StartedOn,AssessorSignedOn,LearnerSignedOn,EmployerSignedOn,EndTime,VisitID,Progress
3882618,2020-04-03T07:00:00Z,954470,934941,,,2020-02-03T12:52:51.56Z,2020-03-19T19:15:58.913Z,2020-03-19T19:16:38.96Z,,,,5997275,50
3892134,2020-04-03T07:00:00Z,954471,,,,2020-02-06T10:39:15.333Z,,,,,,6018321,
3946942,2020-04-14T07:00:00Z,954478,,,,2020-03-03T10:32:12.853Z,,,,,,6146513,
3946936,2020-04-14T07:00:00Z,954481,934941,,,2020-03-03T10:30:48.527Z,2020-03-18T15:49:34.567Z,2020-03-18T15:50:02.35Z,2020-03-23T09:00:16.943Z,,,6146502,54
3946947,2020-04-14T07:00:00Z,954483,,,,2020-03-03T10:32:40.417Z,,,,,,6146519,
4067550,2020-04-30T14:30:00Z,954484,1038151,,,2020-04-30T16:05:01.413Z,2020-04-30T16:05:34.083Z,2020-04-30T16:16:32.57Z,2020-05-01T07:21:44.803Z,,,6407650,11
3882606,2020-04-03T07:00:00Z,954486,,,,2020-02-03T12:51:27.013Z,,,,,,5997227,
4062480,2020-04-29T10:00:00Z,991018,1038151,,,2020-04-29T10:07:21.51Z,2020-04-29T10:52:01.483Z,2020-04-29T11:02:56.73Z,2020-04-29T11:13:31.603Z,,,6396245,62
4062904,2020-04-29T14:00:00Z,1013607,861408,,,2020-04-29T11:12:42.133Z,2020-04-29T14:03:30.17Z,2020-04-29T14:40:48.627Z,2020-04-29T14:51:04.127Z,,,6397005,0
3969482,2020-04-14T07:00:00Z,1016741,,,,2020-03-11T12:42:02.443Z,,,,,,6195870,
4060397,2020-04-20T13:00:00Z,1016745,861542,,,2020-04-28T13:13:09.973Z,2020-04-28T13:13:15.927Z,2020-04-28T13:46:56.7Z,2020-04-28T13:50:46.573Z,,,6391930,57
3969495,2020-04-14T07:00:00Z,1016746,861542,,,2020-03-11T12:43:19.803Z,2020-04-29T11:01:31.153Z,2020-04-29T11:12:29.883Z,2020-04-29T11:14:43.15Z,,,6195890,96
3901369,2020-04-10T07:00:00Z,1032596,,,,2020-02-11T13:45:02.82Z,,,,,,6043110,
4058160,2020-04-28T13:00:00Z,1181762,861408,,,2020-04-27T17:07:45.24Z,2020-04-28T14:04:33.96Z,2020-04-28T14:21:31.597Z,2020-04-28T14:32:59.127Z,,,6387180,10
4058161,2020-04-28T14:00:00Z,1181777,861408,,,2020-04-27T17:09:13.467Z,2020-04-28T13:03:07.04Z,2020-04-28T13:25:30.347Z,,,,6387183,20
4060681,2020-04-28T14:00:00Z,1263650,861430,,,2020-04-28T14:01:13.57Z,2020-04-28T14:03:16.82Z,2020-04-28T14:15:35.303Z,2020-04-28T14:20:41.253Z,,,6392501,0
3954712,2020-04-29T13:00:00Z,1295845,,,,2020-03-05T10:18:01.243Z,2020-03-05T10:18:47.87Z,,,,,6162875,0
3954707,2020-04-29T13:00:00Z,1295846,,,,2020-03-05T10:17:47.12Z,2020-03-05T10:18:44.9Z,,,,,6162869,0
3954745,2020-04-30T07:00:00Z,1295848,,,,2020-03-05T10:20:39.853Z,,,,,,6162919,
3954713,2020-04-29T11:15:00Z,1295855,,,,2020-03-05T10:18:01.807Z,2020-03-05T10:18:51.76Z,,,,,6162876,0
3954710,2020-04-29T08:30:00Z,1295860,,,,2020-03-05T10:17:59.15Z,2020-03-05T10:18:51.84Z,,,,,6162872,0
3954720,2020-04-29T09:00:00Z,1295863,,,,2020-03-05T10:18:29.447Z,2020-03-05T10:18:54.243Z,,,,,6162885,0
4053408,2020-04-29T12:00:00Z,1301606,1243703,,,2020-04-24T09:10:31.763Z,2020-04-24T09:12:19.623Z,2020-04-24T09:27:11.9Z,2020-04-24T09:28:03.57Z,,,6376767,0
